"시점",전국,전국,전국,전국,전국,전국
"시점",총지수,신선식품,신선어개,신선채소,신선과실,신선식품제외
"2010. 01",89.974,85.417,85.995,91.655,82.400,90.134
"2010. 02",90.156,89.206,87.666,98.428,85.040,90.225
"2010. 03",90.338,92.219,86.962,107.167,86.077,90.316
"2010. 04",90.702,96.300,88.545,112.192,91.168,90.497
"2010. 05",90.793,94.357,88.105,100.722,95.505,90.679
"2010. 06",90.702,89.304,87.314,90.453,91.357,90.770
"2010. 07",90.884,90.178,85.819,92.966,90.791,91.043
"2010. 08",91.340,97.563,86.523,102.142,100.219,91.133
"2010. 09",92.068,112.917,88.633,145.621,101.445,91.224
"2010. 10",92.068,113.208,87.050,144.965,103.613,91.315
"2010. 11",91.613,102.908,89.600,114.050,101.539,91.224
"2010. 12",91.977,102.616,92.941,110.445,102.105,91.588
"2011. 01",93.070,107.767,96.459,115.470,108.704,92.496
"2011. 02",93.707,108.447,96.459,120.276,106.536,93.223
"2011. 03",94.072,107.572,94.876,119.075,106.159,93.587
"2011. 04",94.163,103.880,95.931,102.361,109.647,93.768
"2011. 05",94.345,97.661,96.371,85.537,107.856,94.223
"2011. 06",94.527,95.231,94.172,81.167,107.007,94.495
"2011. 07",94.982,100.187,95.316,96.898,105.782,94.859
"2011. 08",95.620,111.168,94.876,123.991,112.570,95.041
"2011. 09",95.529,108.155,95.403,118.419,109.364,95.041
"2011. 10",95.347,101.742,94.788,100.066,108.610,95.131
"2011. 11",95.438,98.632,96.283,92.529,105.782,95.404
"2011. 12",95.802,98.924,96.810,94.058,105.216,95.677
"2012. 01",96.184,105.230,97.452,100.962,115.870,95.858
"2012. 02",96.549,108.495,97.285,106.643,119.358,96.094
"2012. 03",96.576,112.587,98.068,115.142,121.649,95.985
"2012. 04",96.567,111.080,99.519,107.670,123.714,96.022
"2012. 05",96.740,110.740,99.404,106.774,123.082,96.213
"2012. 06",96.603,104.434,97.822,95.500,117.981,96.313
"2012. 07",96.385,102.412,97.162,95.620,112.768,96.158
"2012. 08",96.831,107.631,96.283,104.545,119.264,96.413
"2012. 09",97.523,118.922,95.931,135.450,120.254,96.721
"2012. 10",97.341,114.588,95.043,121.544,122.714,96.694
"2012. 11",96.995,106.844,95.808,109.134,113.154,96.631
"2012. 12",97.168,108.991,96.265,116.398,111.467,96.721
"2013. 01",97.751,116.308,96.608,131.113,117.029,97.049
"2013. 02",98.078,118.145,97.312,135.898,116.841,97.321
"2013. 03",97.987,114.569,97.382,125.859,116.596,97.367
"2013. 04",97.851,114.132,98.376,120.145,120.046,97.248
"2013. 05",97.851,109.030,99.184,107.145,118.189,97.430
"2013. 06",97.732,102.791,98.147,95.096,113.993,97.557
"2013. 07",97.942,103.287,97.391,98.941,112.768,97.739
"2013. 08",98.288,111.848,96.344,119.828,116.973,97.785
"2013. 09",98.479,109.584,94.867,118.463,113.418,98.075
"2013. 10",98.179,101.237,94.463,98.308,110.779,98.075
"2013. 11",98.160,97.077,95.650,91.556,105.273,98.212
"2013. 12",98.279,96.864,96.256,92.769,103.161,98.330
"2014. 01",98.807,101.266,96.661,97.445,110.562,98.729
"2014. 02",99.071,103.472,97.725,100.908,112.560,98.902
"2014. 03",99.253,101.635,97.918,97.401,110.986,99.166
"2014. 04",99.317,100.411,99.026,89.710,114.352,99.275
"2014. 05",99.481,99.021,98.877,87.056,113.192,99.502
"2014. 06",99.353,94.852,98.481,82.304,106.658,99.520
"2014. 07",99.499,94.677,97.241,83.920,105.282,99.684
"2014. 08",99.672,98.613,97.162,96.942,102.878,99.711
"2014. 09",99.608,100.197,97.065,102.754,101.237,99.584
"2014. 10",99.308,94.570,98.833,88.454,98.833,99.484
"2014. 11",99.108,92.073,100.152,86.302,93.243,99.375
"2014. 12",99.098,94.133,101.471,92.638,91.753,99.284
"2015. 01",99.77,100.05,101.90,100.10,98.84,99.76
"2015. 02",99.71,102.71,101.39,106.58,99.83,99.59
"2015. 03",99.72,100.06,101.62,101.29,97.91,99.70
"2015. 04",99.75,100.32,101.12,98.76,101.31,99.72
"2015. 05",100.03,102.54,100.64,100.73,105.46,99.93
"2015. 06",100.05,100.59,100.36,99.23,102.03,100.03
"2015. 07",100.23,99.84,98.88,100.00,100.29,100.24
"2015. 08",100.37,101.71,96.88,104.75,101.85,100.32
"2015. 09",100.11,100.67,96.86,102.55,101.26,100.09
"2015. 10",100.11,97.92,98.35,93.27,102.09,100.21
"2015. 11",99.92,94.18,100.27,90.08,94.28,100.16
"2015. 12",100.22,99.41,101.74,102.65,94.85,100.26
"2016. 01",100.39,102.58,101.06,110.83,95.65,100.30
"2016. 02",100.82,111.17,103.08,127.21,100.92,100.39
"2016. 03",100.56,107.83,102.81,119.93,99.43,100.26
"2016. 04",100.75,107.36,103.41,117.31,100.33,100.47
"2016. 05",100.81,103.92,103.17,109.40,99.15,100.68
"2016. 06",100.79,97.17,102.69,94.72,96.04,100.94
"2016. 07",100.60,97.87,103.12,97.31,95.11,100.72
"2016. 08",100.86,102.79,101.74,110.27,96.30,100.78
"2016. 09",101.46,117.34,101.95,147.25,98.44,100.80
"2016. 10",101.60,110.97,102.34,127.59,100.52,101.21
"2016. 11",101.45,107.53,105.31,120.20,96.83,101.19
"2016. 12",101.56,111.33,106.92,124.28,101.73,101.15
"2017. 01",102.64,118.87,108.56,130.26,114.29,101.98
"2017. 02",102.92,119.66,109.62,127.85,118.09,102.24
"2017. 03",102.85,117.71,109.60,121.48,119.30,102.25
"2017. 04",102.72,113.20,110.29,110.00,118.27,102.28
"2017. 05",102.83,110.46,111.14,99.95,120.47,102.50
"2017. 06",102.61,106.47,110.05,96.40,114.12,102.43
"2017. 07",102.78,106.80,106.82,107.99,105.58,102.59
"2017. 08",103.37,118.83,105.43,135.68,110.87,102.73
"2017. 09",103.49,122.70,105.53,141.19,115.56,102.71
"2017. 10",103.39,112.39,107.95,114.97,112.73,103.01
"2017. 11",102.62,103.41,109.78,102.44,100.22,102.56
"2017. 12",102.99,107.20,110.50,104.20,108.01,102.79
"2018. 01",103.42,112.69,110.35,113.84,113.09,103.02
"2018. 02",104.21,122.76,110.81,133.80,119.61,103.46
"2018. 03",104.10,116.24,111.50,122.03,113.59,103.59
"2018. 04",104.29,116.70,112.31,118.34,117.92,103.78
"2018. 05",104.34,112.54,112.98,112.86,111.93,103.99
"2018. 06",104.13,106.30,112.98,102.74,105.44,104.00
"2018. 07",103.93,105.36,112.31,106.81,99.37,103.85
"2018. 08",104.85,124.55,110.40,138.33,120.12,104.05
"2018. 09",105.65,136.16,109.40,158.68,131.28,104.44
"2018. 10",105.46,124.98,110.94,130.54,128.63,104.66
"2018. 11",104.71,114.23,111.84,116.59,113.43,104.32
"2018. 12",104.35,114.24,111.96,109.97,119.99,103.94
"2019. 01",104.24,113.99,110.21,111.59,118.85,103.83
"2019. 02",104.69,116.33,109.94,113.51,123.33,104.20
"2019. 03",104.49,112.77,109.20,106.27,121.55,104.12
"2019. 04",104.87,113.56,109.76,104.21,125.33,104.50
"2019. 05",105.05,110.19,110.38,101.66,118.56,104.82
"2019. 06",104.88,106.33,110.88,100.14,109.52,104.79
"2019. 07",104.56,103.66,111.08,99.93,102.51,104.56
"2019. 08",104.81,107.19,108.23,113.55,100.19,104.68
"2019. 09",105.20,115.38,109.89,124.65,109.77,104.77
"2019. 10",105.46,115.29,111.56,128.46,104.64,105.04
"2019. 11",104.87,108.22,112.69,117.81,95.77,104.71
"2019. 12",105.12,111.68,115.54,117.32,103.55,104.83
"2020. 01",105.79,118.71,117.46,129.35,108.96,105.25
"2020. 02",105.80,117.10,118.76,124.72,108.44,105.32
"2020. 03",105.54,117.04,118.32,123.90,109.37,105.06
"2020. 04",104.95,116.88,119.94,115.04,116.70,104.45
"2020. 05",104.71,113.95,120.22,111.66,112.11,104.32
"2020. 06",104.87,110.86,119.61,109.94,106.02,104.60
"2020. 07",104.86,112.33,117.70,116.37,104.79,104.53
"2020. 08",105.50,124.08,116.13,146.07,107.43,104.74
"2020. 09",106.20,140.24,117.40,168.21,127.40,104.84
"2020. 10",105.61,138.25,118.60,154.58,134.88,104.32
"2020. 11",105.50,122.38,120.66,126.07,119.83,104.81
"2020. 12",105.67,122.85,122.05,117.50,128.70,104.97
"2021. 01",106.47,129.64,121.73,133.17,131.32,105.54
"2021. 02",107.00,139.27,121.30,151.24,139.13,105.72
"2021. 03",107.16,136.30,120.76,147.27,135.57,106.00
"2021. 04",107.39,133.93,120.72,137.34,139.20,106.33
"2021. 05",107.46,128.82,121.00,124.59,138.17,106.59
"2021. 06",107.39,122.27,120.41,116.12,129.60,106.79
"2021. 07",107.61,120.50,118.16,115.39,127.11,107.07
"2021. 08",108.29,129.18,117.56,129.17,136.79,107.44
"2021. 09",108.83,136.77,118.61,147.47,138.02,107.71
